Hashtags	Image	CNNTags	CNNTagProbs

MadridOpen,Sharapova,tennis	http://pbs.twimg.com/media/CEDwF9NUgAA6atI.jpg		tennis,tennis match,professional tennis,tournament,competition,tennis ball,ball game,tennis player,north america,racquet,sports equipment,ball,adult,tennis racket,tennis court,one,women,victory,racket,people	0.99980,0.99862,0.99393,0.99347,0.99334,0.98941,0.98675,0.98211,0.97451,0.97432,0.97356,0.96809,0.96389,0.95081,0.94842,0.94622,0.93291,0.93208,0.93063,0.92798
BETWAY,Football,Racing,Tennis,Inplay,Casino	http://pbs.twimg.com/media/CEDupIHWIAAO7SI.png		competition,north america,people,ball game,soccer,adult,ball,athlete,auto racing,men,game,football,championship,stadium,action,politics,net,sport,european,club	0.99269,0.97931,0.97032,0.96965,0.95701,0.95443,0.94848,0.94636,0.93189,0.91709,0.91425,0.91365,0.89941,0.89761,0.87640,0.87608,0.87347,0.87234,0.86715,0.86582
VoiceOver,Tennis,Awesome	http://pbs.twimg.com/media/CEDscAHUEAAJmkb.jpg		people,soccer,women,portrait,aircraft,female,competition,adult,transportation,recreation,politics,indoors,man,clothing,north america,vehicle,happiness,child,motor vehicle,family	0.97356,0.96631,0.96612,0.96343,0.95043,0.94097,0.93749,0.93108,0.92885,0.91895,0.90409,0.90201,0.90011,0.89940,0.89860,0.89810,0.89573,0.89277,0.89079,0.87275
RogerFederer,semifinal,BNP,IstanbulOpen,tennis,Tournament,AA	http://pbs.twimg.com/media/CEDjoPpWMAEX4-N.jpg		tennis,ball,professional tennis,tennis match,competition,tournament,sports equipment,athlete,men,ball game,court,tennis court,adult,racket,people,new south wales,north america,stadium,action,match	0.99940,0.99577,0.99575,0.99362,0.99034,0.98485,0.97011,0.95162,0.94343,0.94325,0.93985,0.93821,0.93094,0.92693,0.89715,0.89120,0.89074,0.88452,0.88227,0.87903
powersharestennis,tennis,Vancouver,UBC	http://pbs.twimg.com/media/CEDq0BNUkAALfSw.jpg		tennis,racquet,tennis player,ball game,ball,tennis match,sports equipment,badminton,tennis ball,competition,athlete,game,racket,soccer,professional tennis,fan,stadium,north america,cricket,net	0.99985,0.99912,0.99424,0.99320,0.99209,0.99057,0.98594,0.98337,0.97974,0.97873,0.97752,0.97586,0.97468,0.97446,0.97390,0.97132,0.96920,0.96144,0.95684,0.95053
plated,quality,tennis	http://pbs.twimg.com/media/CEDqMdCVIAAlDd7.jpg		precious,gold,wealth,luxury,shiny,golden,ring,jewelry,shape,isolated,platinum,reflection,jewellery,brilliant,bright,nobody,adornment,beads,diamond,decoration	0.99944,0.99905,0.99831,0.99736,0.99622,0.98455,0.98114,0.97946,0.97752,0.97497,0.96479,0.95298,0.94924,0.94730,0.94424,0.94342,0.94176,0.94054,0.93835,0.93494
sport,NFL,NBA,SOCCER,TENNIS,MLB,Nascar,PGA,NHL,UFC,MMA,Olympics,XGames	http://pbs.twimg.com/media/B6jqQRMIEAARvr7.jpg		illustration,nobody,background,text,technology,design,horizontal,world,vector,symbol,people,travel,isolated,equipment,binary code,competition,ball,recreation,safety,development	0.92522,0.86407,0.85109,0.78901,0.74971,0.74401,0.73497,0.73319,0.72421,0.69089,0.67820,0.67534,0.67195,0.66327,0.65859,0.65177,0.64878,0.63612,0.62448,0.62377
BETWAY,Football,Racing,Tennis,Inplay,Casino	http://pbs.twimg.com/media/CEDn8HSWAAE0gj-.jpg		web,text,data,sign,internet,illustration,board,business,design,symbol,technology,information,background,shape,key,service,icon,communication,traffic,online	0.98450,0.97756,0.97753,0.97617,0.97367,0.97105,0.96737,0.96099,0.96075,0.95837,0.95160,0.95118,0.93961,0.93816,0.92497,0.92199,0.91391,0.91289,0.90331,0.90036
WTA,tennis	http://pbs.twimg.com/media/CEA_aA9XIAANEMp.jpg		people,men,girl,world,women,north america,female,beach,group,woman,competition,travel,portrait,boy,vacation,adult,sport,street,party,international	0.99374,0.98933,0.98677,0.97559,0.97439,0.96680,0.96515,0.96345,0.95826,0.94722,0.94309,0.92795,0.92685,0.92556,0.92345,0.92130,0.91224,0.91122,0.90622,0.90276
WTA,tennis	http://pbs.twimg.com/media/CEBKCeLXIAAj6F_.jpg		competition,tennis,one,adult,recreation,professional tennis,people,men,ball,sports equipment,north america,athlete,tennis match,clothing,motion,action,skill,tennis court,determination,ball game	0.98524,0.98272,0.97915,0.97441,0.95928,0.95816,0.95402,0.94249,0.93678,0.90985,0.89455,0.88380,0.88361,0.85914,0.83715,0.81302,0.77758,0.77612,0.73666,0.73620
WTA,tennis	http://pbs.twimg.com/media/CEBWn_DUkAEABxz.jpg		people,portrait,north america,adult,competition,recreation,women,motor vehicle,clothing,female,one,eyewear,festival,music,facial expression,outdoors,european,vehicle,singer,automobile	0.99375,0.99142,0.98600,0.97800,0.97402,0.97001,0.95743,0.95460,0.95005,0.94931,0.93763,0.93590,0.93589,0.93272,0.91096,0.90839,0.89581,0.89025,0.88562,0.87434
